genre,count,mean_vote
Documentary,20,7.34045
History,223,7.228251121076234
War,143,7.223349650349651
Animation,426,7.139870892018779
Music,99,7.117030303030303
Western,67,7.08089552238806
Drama,1900,7.075902105263157
Romance,723,6.86541908713693
Crime,752,6.834304521276596
TV Movie,22,6.800272727272727
Family,596,6.778145973154363
Fantasy,626,6.721805111821086
Mystery,465,6.719916129032258
Adventure,1036,6.715689189189189
Comedy,1543,6.646565780946209
Thriller,1367,6.64112070226774
Action,1323,6.630545729402872
Science Fiction,709,6.607290550070522
Horror,659,6.390424886191199
