code,language,count,percent
en,English,4156,89.56896551724138
fr,French,150,3.2327586206896552
ja,Japanese,83,1.788793103448276
it,Italian,62,1.3362068965517242
es,Spanish,47,1.0129310344827585
de,German,28,0.603448275862069
ko,Korean,28,0.603448275862069
cn,Cantonese,14,0.3017241379310345
sv,Swedish,11,0.23706896551724138
zh,Mandarin,8,0.1724137931034483
no,Norwegian,7,0.15086206896551724
da,Danish,7,0.15086206896551724
hi,Hindi,6,0.12931034482758622
pt,Portuguese,5,0.10775862068965517
pl,Polish,5,0.10775862068965517
ru,Russian,5,0.10775862068965517
tr,Turkish,2,0.04310344827586207
th,Thai,2,0.04310344827586207
id,Indonesian,2,0.04310344827586207
nl,Dutch,2,0.04310344827586207
ar,Arabic,1,0.021551724137931036
lv,Latvian,1,0.021551724137931036
he,Hebrew,1,0.021551724137931036
te,Telugu,1,0.021551724137931036
fa,Farsi,1,0.021551724137931036
other,other,5,0.10775862068965517
